PERIODO,MES,TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
2025,Marzo,EMPRESA FINANCIERA,Financiera Surgir,MN,3.668,184.61209
2025,Marzo,EMPRESA FINANCIERA,Financiera Surgir,ME,3.668,-2.53489
2025,Marzo,EMPRESA FINANCIERA,Financiera Surgir,TOTAL,3.668,182.0772
2025,Marzo,EMPRESA FINANCIERA,Total Empresas Financieras,MN,3.668,105880.67004
2025,Marzo,EMPRESA FINANCIERA,Total Empresas Financieras,ME,3.668,-20907.251729999996
2025,Marzo,EMPRESA FINANCIERA,Total Empresas Financieras,TOTAL,3.668,84973.41831
2026,Marzo,EMPRESA FINANCIERA,Financiera Confianza,MN,3.4909999999999997,18861.90593
2026,Marzo,EMPRESA FINANCIERA,Financiera Confianza,ME,3.4909999999999997,60.62057
2026,Marzo,EMPRESA FINANCIERA,Financiera Confianza,TOTAL,3.4909999999999997,18922.5265
2026,Marzo,EMPRESA FINANCIERA,Financiera Efectiva,MN,3.4909999999999997,30664.102300000002
2026,Marzo,EMPRESA FINANCIERA,Financiera Efectiva,ME,3.4909999999999997,-2213.83135
2026,Marzo,EMPRESA FINANCIERA,Financiera Efectiva,TOTAL,3.4909999999999997,28450.27095
2026,Marzo,EMPRESA FINANCIERA,Financiera Qapaq,MN,3.4909999999999997,2484.5618999999997
2026,Marzo,EMPRESA FINANCIERA,Financiera Qapaq,ME,3.4909999999999997,3635.78524
2026,Marzo,EMPRESA FINANCIERA,Financiera Qapaq,TOTAL,3.4909999999999997,6120.34714
2026,Marzo,EMPRESA FINANCIERA,InFinance XP,MN,3.4909999999999997,27907.23671
2026,Marzo,EMPRESA FINANCIERA,InFinance XP,ME,3.4909999999999997,-20082.740449999998
2026,Marzo,EMPRESA FINANCIERA,InFinance XP,TOTAL,3.4909999999999997,7824.49626
2026,Marzo,EMPRESA FINANCIERA,Mitsui Auto Finance,MN,3.4909999999999997,16467.8669
2026,Marzo,EMPRESA FINANCIERA,Mitsui Auto Finance,ME,3.4909999999999997,5069.46317
2026,Marzo,EMPRESA FINANCIERA,Mitsui Auto Finance,TOTAL,3.4909999999999997,21537.33007
2026,Marzo,EMPRESA FINANCIERA,Financiera Proempresa,MN,3.4909999999999997,4152.55727
2026,Marzo,EMPRESA FINANCIERA,Financiera Proempresa,ME,3.4909999999999997,-905.55053
2026,Marzo,EMPRESA FINANCIERA,Financiera Proempresa,TOTAL,3.4909999999999997,3247.0067400000003
2026,Marzo,EMPRESA FINANCIERA,Financiera Surgir,MN,3.4909999999999997,1243.2703600000002
2026,Marzo,EMPRESA FINANCIERA,Financiera Surgir,ME,3.4909999999999997,-205.86359
2026,Marzo,EMPRESA FINANCIERA,Financiera Surgir,TOTAL,3.4909999999999997,1037.40677
2026,Marzo,EMPRESA FINANCIERA,Total Empresas Financieras,MN,3.4909999999999997,101781.50137
2026,Marzo,EMPRESA FINANCIERA,Total Empresas Financieras,ME,3.4909999999999997,-14642.11694
2026,Marzo,EMPRESA FINANCIERA,Total Empresas Financieras,TOTAL,3.4909999999999997,87139.38442999999
2025,Marzo,CAJAS MUNICIPALES,CMAC Arequipa,MN,3.668,38542.20222
2025,Marzo,CAJAS MUNICIPALES,CMAC Arequipa,ME,3.668,-15027.86608
2025,Marzo,CAJAS MUNICIPALES,CMAC Arequipa,TOTAL,3.668,23514.33614
2025,Marzo,CAJAS MUNICIPALES,CMAC Cusco,MN,3.668,46399.75226
2025,Marzo,CAJAS MUNICIPALES,CMAC Cusco,ME,3.668,-3629.7001299999997
2025,Marzo,CAJAS MUNICIPALES,CMAC Cusco,TOTAL,3.668,42770.05213
2025,Marzo,CAJAS MUNICIPALES,CMAC Del Santa,MN,3.668,193.10361
2025,Marzo,CAJAS MUNICIPALES,CMAC Del Santa,ME,3.668,-75.79468000000001
2025,Marzo,CAJAS MUNICIPALES,CMAC Del Santa,TOTAL,3.668,117.30893
2025,Marzo,CAJAS MUNICIPALES,CMAC Huancayo,MN,3.668,37562.7106
2025,Marzo,CAJAS MUNICIPALES,CMAC Huancayo,ME,3.668,-13497.7781
2025,Marzo,CAJAS MUNICIPALES,CMAC Huancayo,TOTAL,3.668,24064.9325
2025,Marzo,CAJAS MUNICIPALES,CMAC Ica,MN,3.668,13882.72889
2025,Marzo,CAJAS MUNICIPALES,CMAC Ica,ME,3.668,-4856.23492
2025,Marzo,CAJAS MUNICIPALES,CMAC Ica,TOTAL,3.668,9026.493970000001
2025,Marzo,CAJAS MUNICIPALES,CMAC Maynas,MN,3.668,2182.39488
2025,Marzo,CAJAS MUNICIPALES,CMAC Maynas,ME,3.668,-2143.93579
2025,Marzo,CAJAS MUNICIPALES,CMAC Maynas,TOTAL,3.668,38.459089999999854
2025,Marzo,CAJAS MUNICIPALES,CMAC Paita,MN,3.668,-260.01003
2025,Marzo,CAJAS MUNICIPALES,CMAC Paita,ME,3.668,-53.219950000000004
2025,Marzo,CAJAS MUNICIPALES,CMAC Paita,TOTAL,3.668,-313.22997999999995
2025,Marzo,CAJAS MUNICIPALES,CMAC Piura,MN,3.668,12482.53286
2025,Marzo,CAJAS MUNICIPALES,CMAC Piura,ME,3.668,-8957.740679999999
2025,Marzo,CAJAS MUNICIPALES,CMAC Piura,TOTAL,3.668,3524.79218
2025,Marzo,CAJAS MUNICIPALES,CMAC Tacna,MN,3.668,4402.06123
2025,Marzo,CAJAS MUNICIPALES,CMAC Tacna,ME,3.668,-674.3638100000001
2025,Marzo,CAJAS MUNICIPALES,CMAC Tacna,TOTAL,3.668,3727.6974200000004
2025,Marzo,CAJAS MUNICIPALES,CMAC Trujillo,MN,3.668,14471.7115
2025,Marzo,CAJAS MUNICIPALES,CMAC Trujillo,ME,3.668,-2585.33646
2025,Marzo,CAJAS MUNICIPALES,CMAC Trujillo,TOTAL,3.668,11886.375039999999
2025,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,MN,3.668,169859.18801999994
2025,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,ME,3.668,-51501.97060000001
2025,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,TOTAL,3.668,118357.21741999999
2025,Marzo,CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,MN,3.668,1233.5493000000001
2025,Marzo,CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,ME,3.668,1878.96877
2025,Marzo,CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,TOTAL,3.668,3112.51807
2025,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,MN,3.668,171092.73731999996
2025,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,ME,3.668,-49623.00183000001
2025,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,TOTAL,3.668,121469.73548999995
2026,Marzo,CAJAS MUNICIPALES,CMAC Arequipa,MN,3.4909999999999997,78939.77228
2026,Marzo,CAJAS MUNICIPALES,CMAC Arequipa,ME,3.4909999999999997,-15258.43666
2026,Marzo,CAJAS MUNICIPALES,CMAC Arequipa,TOTAL,3.4909999999999997,63681.335620000005
2026,Marzo,CAJAS MUNICIPALES,CMAC Cusco,MN,3.4909999999999997,72079.89268
2026,Marzo,CAJAS MUNICIPALES,CMAC Cusco,ME,3.4909999999999997,-4382.3497800000005
2026,Marzo,CAJAS MUNICIPALES,CMAC Cusco,TOTAL,3.4909999999999997,67697.5429
2026,Marzo,CAJAS MUNICIPALES,CMAC Del Santa,MN,3.4909999999999997,262.4972
2026,Marzo,CAJAS MUNICIPALES,CMAC Del Santa,ME,3.4909999999999997,-143.86766
2026,Marzo,CAJAS MUNICIPALES,CMAC Del Santa,TOTAL,3.4909999999999997,118.62954
2026,Marzo,CAJAS MUNICIPALES,CMAC Huancayo,MN,3.4909999999999997,91965.75229
2026,Marzo,CAJAS MUNICIPALES,CMAC Huancayo,ME,3.4909999999999997,-11365.24017
2026,Marzo,CAJAS MUNICIPALES,CMAC Huancayo,TOTAL,3.4909999999999997,80600.51212
